cohort_id,sex,scenario_id,delta_M,delta_pct
C1,F,LAPSE_UP,-0.08,-56.0
C1,M,LAPSE_UP,-0.2,-91.2
C2,F,LAPSE_UP,-0.12,-3.2
C2,M,LAPSE_UP,-0.29,-3.0
C3,F,LAPSE_UP,-0.13,-9.9
C3,M,LAPSE_UP,-0.2,-8.2
C4,F,LAPSE_UP,-0.07,-22.3
C4,M,LAPSE_UP,-0.07,-19.7
C1,F,MORT_UP,0.51,376.5
C1,M,MORT_UP,1.29,597.2
C2,F,MORT_UP,1.4,38.0
C2,M,MORT_UP,3.21,33.1
C3,F,MORT_UP,1.38,108.9
C3,M,MORT_UP,2.39,97.3
C4,F,MORT_UP,0.99,329.2
C4,M,MORT_UP,1.26,333.4
C1,F,RATE_UP,-0.12,-84.8
C1,M,RATE_UP,-0.3,-140.1
C2,F,RATE_UP,-0.2,-5.5
C2,M,RATE_UP,-0.49,-5.1
C3,F,RATE_UP,-0.15,-11.9
C3,M,RATE_UP,-0.24,-9.6
C4,F,RATE_UP,-0.06,-21.3
C4,M,RATE_UP,-0.07,-18.8
